facility_id,predicted_satisfaction,actual_satisfaction,rank,priority,feature,shap_impact,recommendation,estimated_impact
,76.76,83.75,2,HIGH,avg_er_wait_minutes,0.4449,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,76.76,83.75,3,HIGH,OP_18b,0.2798,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,75.51,77.0,1,MEDIUM,bed_count,1.8888,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,75.51,77.0,2,HIGH,avg_er_wait_minutes,0.616,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,75.51,77.0,3,HIGH,OP_18b,0.312,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,71.05,69.38,1,HIGH,hospital_overall_rating,-3.3262,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,71.05,69.38,2,MEDIUM,bed_count,1.1031,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,71.05,69.38,3,HIGH,MORT_30_AMI,0.1232,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,71.31,72.38,1,HIGH,hospital_overall_rating,-2.3429,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,71.31,72.38,2,HIGH,MORT_30_AMI,0.1015,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,71.31,72.38,3,LOW,deprivation_index,0.0135,High deprivation area — partner with community health organizations for wraparound services,+0.5–1% satisfaction
,70.93,80.25,1,HIGH,hospital_overall_rating,-4.4174,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,70.93,80.25,2,HIGH,avg_er_wait_minutes,0.8281,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,70.93,80.25,3,HIGH,OP_18b,0.3091,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,68.34,68.62,1,HIGH,hospital_overall_rating,-0.3606,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,68.34,68.62,2,HIGH,MORT_30_AMI,0.1309,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,74.36,72.5,1,HIGH,MORT_30_AMI,0.1393,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,74.36,72.5,2,MEDIUM,bed_count,0.0549,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,74.36,72.5,3,LOW,deprivation_index,0.0009,High deprivation area — partner with community health organizations for wraparound services,+0.5–1% satisfaction
,75.66,72.88,1,MEDIUM,bed_count,1.373,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,75.66,72.88,2,HIGH,MORT_30_AMI,0.1714,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,75.66,72.88,3,HIGH,OP_18b,0.0253,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,70.09,67.62,1,HIGH,hospital_overall_rating,-2.9528,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,70.09,67.62,2,HIGH,MORT_30_AMI,0.1361,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,70.09,67.62,3,HIGH,avg_er_wait_minutes,0.1119,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,69.47,69.25,1,HIGH,hospital_overall_rating,-2.1962,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,70.54,70.88,1,HIGH,MORT_30_AMI,0.0688,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,66.27,66.38,1,HIGH,hospital_overall_rating,-2.4704,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,66.27,66.38,2,HIGH,MORT_30_AMI,0.0972,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,72.16,72.0,1,HIGH,hospital_overall_rating,-3.1757,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,72.16,72.0,2,HIGH,avg_er_wait_minutes,0.4428,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,72.16,72.0,3,HIGH,OP_18b,0.284,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,77.9,78.75,1,MEDIUM,bed_count,1.9526,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,77.9,78.75,2,HIGH,avg_er_wait_minutes,0.4397,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,77.9,78.75,3,HIGH,OP_18b,0.3468,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,74.22,74.25,1,HIGH,avg_er_wait_minutes,0.3946,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,74.22,74.25,2,MEDIUM,bed_count,0.2421,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,74.22,74.25,3,HIGH,OP_18b,0.2032,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,81.18,85.75,1,MEDIUM,bed_count,2.4122,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,81.18,85.75,2,HIGH,avg_er_wait_minutes,0.8719,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,81.18,85.75,3,HIGH,OP_18b,0.336,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,76.02,82.0,1,MEDIUM,bed_count,0.3096,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,76.02,82.0,2,HIGH,MORT_30_AMI,0.1594,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,76.02,82.0,3,LOW,deprivation_index,0.0607,High deprivation area — partner with community health organizations for wraparound services,+0.5–1% satisfaction
,74.04,73.62,1,MEDIUM,bed_count,1.4389,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,74.04,73.62,2,HIGH,MORT_30_AMI,0.1065,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,69.09,68.12,1,HIGH,hospital_overall_rating,-0.0057,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,75.24,72.88,1,MEDIUM,bed_count,1.9661,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,75.24,72.88,2,HIGH,MORT_30_AMI,0.1484,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,75.24,72.88,3,LOW,deprivation_index,0.0146,High deprivation area — partner with community health organizations for wraparound services,+0.5–1% satisfaction
,68.92,65.25,1,HIGH,hospital_overall_rating,-0.02,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,76.04,76.0,1,MEDIUM,bed_count,2.0576,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,76.04,76.0,2,HIGH,OP_18b,0.2076,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,76.04,76.0,3,HIGH,MORT_30_AMI,0.1771,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,72.26,72.75,1,LOW,pct_uninsured,0.0321,High uninsured rate area — expand financial counseling and charity care programs,+0.5–1% satisfaction
,75.71,76.12,1,HIGH,OP_18b,0.2893,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,75.71,76.12,2,HIGH,avg_er_wait_minutes,0.2517,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,75.71,76.12,3,LOW,pct_uninsured,0.0412,High uninsured rate area — expand financial counseling and charity care programs,+0.5–1% satisfaction
,76.19,69.25,1,HIGH,avg_er_wait_minutes,0.5822,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,76.19,69.25,2,MEDIUM,bed_count,0.3962,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,76.19,69.25,3,HIGH,OP_18b,0.3157,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,73.06,86.62,1,HIGH,avg_er_wait_minutes,0.4149,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,73.06,86.62,2,HIGH,OP_18b,0.2757,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,73.06,86.62,3,HIGH,MORT_30_AMI,0.1974,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,75.21,70.5,1,HIGH,avg_er_wait_minutes,0.4498,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,75.21,70.5,2,HIGH,OP_18b,0.1803,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,75.21,70.5,3,HIGH,MORT_30_AMI,0.159,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,73.0,71.88,1,HIGH,avg_er_wait_minutes,0.2803,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,73.0,71.88,2,HIGH,OP_18b,0.2607,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,73.0,71.88,3,HIGH,MORT_30_AMI,0.1505,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,78.34,81.75,1,MEDIUM,bed_count,0.7616,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,78.34,81.75,2,HIGH,avg_er_wait_minutes,0.3032,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,78.34,81.75,3,HIGH,OP_18b,0.1695,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,75.99,75.38,1,MEDIUM,bed_count,1.7001,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,75.99,75.38,2,HIGH,avg_er_wait_minutes,0.3928,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,75.99,75.38,3,HIGH,OP_18b,0.2128,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,76.55,80.38,1,MEDIUM,bed_count,2.5578,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,76.55,80.38,2,HIGH,MORT_30_AMI,0.1548,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,77.8,77.38,1,HIGH,OP_18b,0.3147,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,77.8,77.38,2,HIGH,MORT_30_AMI,0.1614,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,77.8,77.38,3,HIGH,avg_er_wait_minutes,0.1475,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,75.03,72.88,1,HIGH,OP_18b,0.3422,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,75.03,72.88,2,HIGH,MORT_30_AMI,0.2138,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,75.03,72.88,3,HIGH,avg_er_wait_minutes,0.0896,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,72.77,72.88,1,MEDIUM,bed_count,1.456,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,72.77,72.88,2,HIGH,MORT_30_AMI,0.1373,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,72.77,72.88,3,LOW,pct_uninsured,0.0823,High uninsured rate area — expand financial counseling and charity care programs,+0.5–1% satisfaction
,72.69,72.88,1,MEDIUM,bed_count,1.2698,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,72.69,72.88,2,HIGH,MORT_30_AMI,0.1273,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,72.69,72.88,3,HIGH,hospital_overall_rating,-0.1117,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,72.94,72.88,1,MEDIUM,bed_count,1.3321,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,72.94,72.88,2,HIGH,MORT_30_AMI,0.1273,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,72.94,72.88,3,HIGH,hospital_overall_rating,-0.1002,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,74.73,77.0,1,MEDIUM,bed_count,1.8232,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,74.73,77.0,2,HIGH,MORT_30_AMI,0.1428,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,74.73,77.0,3,HIGH,hospital_overall_rating,-0.0955,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,78.11,82.75,1,MEDIUM,bed_count,2.312,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,78.11,82.75,2,HIGH,avg_er_wait_minutes,1.261,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,78.11,82.75,3,HIGH,OP_18b,0.4348,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,77.12,81.62,1,MEDIUM,bed_count,2.1694,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,77.12,81.62,2,HIGH,avg_er_wait_minutes,0.4517,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,77.12,81.62,3,HIGH,OP_18b,0.2856,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,77.09,72.88,1,MEDIUM,bed_count,2.2845,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,77.09,72.88,2,HIGH,avg_er_wait_minutes,0.5764,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,77.09,72.88,3,HIGH,OP_18b,0.4011,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,84.21,87.88,1,MEDIUM,bed_count,3.4804,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,84.21,87.88,2,HIGH,avg_er_wait_minutes,1.7169,Reduce ER wait times — implement fast-track triage for non-critical patients,+2–4% satisfaction
,84.21,87.88,3,HIGH,OP_18b,0.4396,Improve ER throughput — target median ER time under 200 minutes,+2–3% satisfaction
,74.65,72.88,1,MEDIUM,bed_count,1.7888,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
,74.65,72.88,2,HIGH,MORT_30_AMI,0.1424,Improve AMI outcomes — review cardiac care protocols against national benchmarks,+1–3% satisfaction
,74.65,72.88,3,HIGH,hospital_overall_rating,-0.0291,Low CMS star rating — focus on quality improvement initiatives targeting rated measures,+3–5% satisfaction
,75.66,72.88,1,MEDIUM,bed_count,1.6216,Large hospital penalty — invest in patient experience programs to offset scale disadvantage,+1–2% satisfaction
